"","title","timestamp","duration","venue","lat","lng","id","address"
"205","UChicago Information Session in Boulder","2019-08-06T17:30:00",3600,"Boulder Public Library - Meadows Branch",39.999,-105.235,"6d20e37a-2216-4100-9cb4-ab9ebbf99b97",NA
"206","Quest for College Information Session in Memphis","2019-06-24T19:00:00",5400,"White Station HS",35.118,-89.905,"2140e67e-4a6c-4c1d-af7c-dde339162cc5",NA
"207","Quest for College Information Session in Waco","2019-06-26T19:00:00",5400,"Waco-McLennan County Library Central Library",31.547,-97.144,"a1d811a4-d7dd-4d91-b022-15512ae77fa1",NA
"208","Quest for College Information Session in McAllen","2019-06-27T19:00:00",5400,"McAllen HS",26.226,-98.238,"0d5782ed-ddb1-4dea-895a-73efb26187b0",NA
"209","UChicago Information Session in Wichita","2019-07-17T18:30:00",3600,"Evergreen Branch Library - Arkansas Room",37.73,-97.345,"3d838e9b-33b9-42c9-ac65-b9358ba7803d",NA
"210","UChicago Information Session in Kansas City","2019-07-16T18:30:00",3600,"Ewing Marion Kauffman Foundation - Town Square Room",39.039,-94.577,"1109f636-a349-4e88-9709-3222211b7939",NA
"211","UChicago Information Session in Omaha","2019-07-15T19:00:00",3600,"Brownell -Talbot School - Swanson Memorial Auditorium",41.264,-95.998,"2770998d-6bd6-4b5a-b1a0-27115ff2a3c9",NA
"212","UChicago Information Session in Tulsa","2019-07-18T19:00:00",3600,"Woody Guthrie Center",36.159,-95.992,"b8f70104-ade2-4074-b26e-dbfbe447237e",NA
"213","UChicago Information Session in Plano","2019-07-20T15:00:00",3600,"Parr Library - Program Room",33.056,-96.834,"30e12c2c-3494-45b6-9758-11b38fc5a4d6",NA
"214","UChicago Information Session in Dallas","2019-07-21T15:00:00",3600,"Bryan Adams HS Auditorium",32.828,-96.681,"0d0b09e1-077d-448b-8586-8446cff2719e",NA
"215","UChicago Information Session in Phoenix","2019-08-07T19:00:00",3600,"Trivium Preparatory Academy",33.47,-112.375,"efc4b039-542d-428a-a958-3dc1c7f12500",NA
"216","UChicago Information Session in Scottsdale","2019-08-08T18:30:00",3600,"Scottsdale Public Library - Mustang Library",33.578,-111.885,"370b8acf-0265-4e29-82cb-b0d8aff4b283",NA
"217","UChicago Information Session in Salt Lake City","2019-08-01T19:00:00",3600,"Salt Lake City Public Library",40.76,-111.885,"c34745c1-e1e8-4e01-b6b7-c8ced7d6f191",NA
"218","UChicago Information Session in Moorestown","2019-08-19T19:00:00",3600,"Moorestown Friends School",39.965,-74.942,"e0c7bea4-6ca6-4cb1-b6dd-29342750c6a5",NA
"219","UChicago Information Session in Basking Ridge","2019-08-20T19:00:00",3600,"Pingry School",40.621,-74.565,"3c9d501a-8492-4de4-b2db-795774fdaac6",NA
"220","UChicago Information Session in Bergen County","2019-08-21T19:00:00",3600,"Dwight-Englewood School",40.888,-73.962,"5cc59fd9-c1bb-4ab1-9a01-76cd10807269",NA
"221","UChicago Information Session in Princeton","2019-08-22T19:00:00",3600,"DoubleTree by Hilton Hotel Princeton",40.366,-74.597,"e9d8400f-304f-467b-b5e9-9749d89ae519",NA
"222","UChicago Information Session in Millburn","2019-08-26T19:00:00",3600,"Millburn HS",40.72,-74.316,"bff4cafc-b477-46f3-9cd5-b05cebc7debe",NA
"223","UChicago Information Session in Queens","2019-08-22T18:30:00",3600,"Sheraton Laguardia East Hotel - Phoenix Room",40.76,-73.832,"a5268aea-06c0-4f7e-8392-8fc58b25f0ce",NA
"224","UChicago Information Session in Long Island","2019-08-26T18:30:00",3600,"Melville Marriott Long Island",40.783,-73.422,"39f96e4b-c1d4-412c-9fad-e06b6560f63c",NA
"225","UChicago Information Session in Tarrytown","2019-08-27T18:30:00",3600,"Doubletree Tarrytown",41.061,-73.864,"2def5bef-2dfd-4c20-89df-3a86b0b532bc",NA
"226","UChicago Information Session in Manhattan","2019-08-28T18:30:00",3600,"Hunter College HS",40.786,-73.954,"c2b09e3b-d23a-4624-b3e8-5cf1579f2229",NA
"227","UChicago Information Session in Brooklyn","2019-08-29T18:30:00",3600,"New York Marriott at the Brooklyn Bridge",40.694,-73.988,"2067a257-c273-40dd-b652-1b4157d549f2",NA
"228","UChicago Information Session Stamford","2019-08-14T19:00:00",3600,"King School",41.109,-73.532,"41409fdf-003b-4c90-8fa8-7bc5f5875815",NA
"229","UChicago Information Session Hartford","2019-08-15T19:00:00",3600,"Kingswood-Oxford School",41.759,-72.736,"a39440ed-ee86-45c3-b8d9-68d2af1cdf4d",NA
"230","UChicago Information Session Cape Cod","2019-08-17T15:00:00",3600,"Marine Biological Laboratory",41.526,-70.672,"09f39349-03cb-4298-9a92-ab15d8619680",NA
"231","UChicago Information Session Worcester","2019-08-19T19:00:00",3600,"Bancroft School",42.305,-71.816,"50e2952f-9bf1-4803-8f52-57e79e59370d",NA
"232","UChicago Information Session Wellesley","2019-08-20T19:00:00",3600,"Wellesley Free Library",42.297,-71.291,"353892b6-92d5-41db-afd7-f098076180bf",NA
"233","UChicago Information Session Burlington","2019-08-21T19:00:00",3600,"Fletcher Free Library",44.477,-73.21,"06b49bc9-6992-4400-8b66-2af3a35dd9ef",NA
"234","UChicago Information Session in Naperville","2019-08-05T18:00:00",7200,"Alfred Rubin Riverwalk Community Center",41.772,-88.153,"e38aec14-5323-41b8-ab09-00b6414c316f",NA
"235","UChicago Information Session in Elgin","2019-08-12T18:00:00",7200,"Rolling Knolls Pavilion",42.035,-88.231,"5c9f9fe8-bf00-47f5-9c35-affaa7d31dcb",NA
"236","UChicago Information Session in Plainfield","2019-08-12T18:00:00",7200,"Plainfield Township Community Center",41.609,-88.206,"46ad0f6f-f51b-4c0a-91eb-772ad1947374",NA
"237","UChicago Information Session in DeKalb","2019-08-13T18:00:00",7200,"Ellwood House Museum",41.935,-88.753,"77cdb0a1-fa1b-4f8e-af5d-2eed07fd495d",NA
"238","UChicago Information Session in River Forest","2019-08-13T18:00:00",7200,"River Forest Community Center",41.88,-87.825,"87a86885-9f6e-4ae9-aac4-df88a2a74975",NA
"239","UChicago Information Session in Buffalo Grove","2019-08-15T18:00:00",7200,"Buffalo Grove Park District Community Arts Center",42.157,-87.958,"3cb59e14-075c-4f66-a4c9-96c2210cab81",NA
"240","UChicago Information Session in Homewood","2019-08-15T18:00:00",7200,"Dolphin Lake Clubhouse",41.558,-87.682,"3f62f0c0-1d01-41e8-b6fe-f8a454069dd6",NA
"241","UChicago Information Session in Boise","2019-08-19T19:00:00",3600,"Main Library!",43.611,-116.208,"6b233884-5781-413c-a236-282a44a28820",NA
"242","UChicago Information Session in Redmond","2019-08-15T18:00:00",3600,"Redmond Regional Library",47.679,-122.128,"b0512401-8859-4738-92cd-6f1378f08263",NA
"243","UChicago Information Session in Seattle","2019-08-17T14:00:00",3600,"Ballard Branch - The Seattle Public Library",47.67,-122.384,"c3776d10-1b8e-40fd-9dae-db7bedba2b78",NA
"244","UChicago Information Session in Vancouver","2019-08-18T14:00:00",3600,"Vancouver Community Library",45.629,-122.669,"12730b56-cf0a-4aed-b433-0585a6961e27",NA
"245","UChicago Information Session in Delhi","2019-08-20T18:00:00",NA,"The University of Chicago Center in Delhi",28.627,77.224,"040fd1c2-831c-455c-a371-b8944af102ef",NA
"246","UChicago Information Session in Bengaluru","2019-08-24T11:30:00",NA,"Yashna Trust: EducationUSA Advising Center",12.995,77.608,"6131c53d-ced2-4773-ba75-fb8d96764413",NA
"247","UChicago Information Session in Denver","2019-10-12T14:00:00",3600,"Denver Central Library",39.737,-104.988,"f8d6184c-8082-4bfd-a31a-44d08ab30cc9",NA
"248","UChicago Information Session in Mumbai","2019-08-27T16:00:00",NA,"United States India Educational Foundation",18.935,72.829,"374a590e-d67a-402b-9dc9-cae51714e790",NA
"249","Exploring College Options: Chandler, AZ","2019-05-22T19:00:00",NA,"Hilton Phoenix Chandler",33.298,-111.892,"f13d6a74-eae1-45fa-a633-7d6c38680878",NA
"250","Exploring College Options: Phoenix, AZ","2019-05-23T19:00:00",NA,"Pointe Hilton Squaw Peak Resort",33.549,-112.046,"66f188f2-fbcf-48b9-b558-8b6e0d881caf",NA
"251","Exploring College Options: San Francisco, CA","2019-05-12T19:00:00",NA,"Hilton San Francisco Union Square",37.786,-122.41,"b874c14a-6f26-40ce-b8f7-697ef13a3ad8",NA
"252","Exploring College Options: San Mateo, CA","2019-05-13T19:00:00",NA,"San Mateo Marriott San Francisco Airport",37.556,-122.301,"49e93ea9-aea3-4348-aef5-9bb9e6c5a543",NA
"253","Exploring College Options: San Jose, CA","2019-05-14T19:00:00",NA,"DoubleTree by Hilton Hotel San Jose",37.372,-121.923,"f55daf29-8a2e-47af-ac59-8e6688d6906c",NA
"254","Exploring College Options: Oakland, CA","2019-05-15T19:00:00",NA,"Oakland Marriott City Center",37.802,-122.274,"e6700efb-f9cc-40d4-b513-475fb84d60a6",NA
"255","Exploring College Options: Sacramento, CA","2019-05-15T19:00:00",NA,"Hyatt Regency Sacramento",38.578,-121.491,"0a30595a-8782-4ab7-9201-3827ca883006",NA
"256","Exploring College Options: Fremont, CA","2019-05-16T19:00:00",NA,"Fremont Marriott Silicon Valley",37.489,-121.946,"6173289c-733d-4d62-86f8-489965ce1693",NA
"257","Exploring College Options: San Diego, CA","2019-05-16T19:00:00",NA,"Hilton San Diego Mission Valley",32.764,-117.157,"c2737e66-f57e-47b3-b943-6fa73b1b5de8",NA
"258","Exploring College Options: Anaheim, CA","2019-05-19T19:00:00",NA,"Sheraton Park Hotel at the Anaheim Resort",33.801,-117.916,"fa1b4e07-6a51-4602-928e-be0ada7fb9dd",NA
"259","Exploring College Options: Irvine, CA","2019-05-20T19:00:00",NA,"Irvine Marriott",33.678,-117.85,"8cd7a9bc-acb2-4dbf-966d-4ece078ca22e",NA
"260","Exploring College Options: Woodland Hills, CA","2019-05-21T19:00:00",NA,"Hilton Woodland Hills/Los Angeles",34.186,-118.597,"8173cf12-189b-4aac-80d2-49c9d666b2b2",NA
"261","Exploring College Options: Los Angeles, CA (Downtown)","2019-05-22T19:00:00",NA,"The Westin Bonaventure Hotel & Suites, Los Angeles",34.052,-118.256,"6e345bc1-4e0e-460b-a841-416c7ab82235",NA
"262","Exploring College Options: Los Angeles, CA (LAX)","2019-05-23T19:00:00",NA,"Los Angeles Airport Marriott",33.946,-118.384,"2d5816f1-78c6-47b6-9578-4698f7df7eb2",NA
"263","Exploring College Options: Denver, CO","2019-05-19T19:00:00",NA,"Hilton Denver Inverness",39.57,-104.868,"5bcd5613-e271-4900-85f3-d3c922a945b2",NA
"264","Exploring College Options: Boulder, CO","2019-05-20T19:00:00",NA,"Hotel Boulderado",40.019,-105.279,"c1864b0e-d554-4a5c-a43c-9f64de3e0ec5",NA
"265","Exploring College Options: Trumbull, CT","2019-05-22T19:00:00",NA,"Trumbull Marriott Shelton",41.236,-73.15,"e8b5d7de-951f-499d-af1c-0d61c4520ce3",NA
"266","Exploring College Options: Wilmington, DE","2019-05-14T19:00:00",NA,"Sheraton Suites Wilmington Downtown",39.747,-75.551,"ce46fd82-75dc-4a7c-a698-0756003fdd13",NA
"267","Exploring College Options: Washington, DC","2019-05-12T19:00:00",NA,"Washington Marriott at Metro Center",38.899,-77.028,"d1c1217a-d1cb-45bd-b444-7de21047df49",NA
"268","Exploring College Options: Tampa, FL","2019-05-12T19:00:00",NA,"Renaissance Tampa International Plaza Hotel",27.966,-82.52,"958fa5ca-213b-4d69-944c-9cf036140f37",NA
"269","Exploring College Options: Orlando, FL","2019-05-13T19:00:00",NA,"Renaissance Orlando Airport Hotel",28.461,-81.311,"83a7a4cc-bcd2-42dd-99a5-ff1dfe516674",NA
"270","Exploring College Options: Palm Beach, FL","2019-05-14T19:00:00",NA,"West Palm Beach Marriott",26.707,-80.063,"d3952ce1-68dc-4875-b341-f321745b177a",NA
"271","Exploring College Options: Fort Lauderdale, FL","2019-05-15T19:00:00",NA,"Fort Lauderdale Marriott North",26.208,-80.143,"00054dfc-2766-4f08-b464-138ecae4fcdf",NA
"272","Exploring College Options: Miami, FL","2019-05-16T19:00:00",NA,"Miami Marriott Dadeland",25.686,-80.314,"82fcc601-a584-4e3c-a1e6-5ffb330c8750",NA
"273","SAS College Forum Featuring Penn, MIT, Princeton, Dartmouth, Stanford, U.Chicago, Brown, UC Berkeley and Johns Hopkins University","2019-06-01T10:00:00",7200,"School for Advanced Studies (SAS) at Miami Dade College",25.778,-80.189,"cee97fbd-f599-4fc3-a6bc-012608715416",NA
"274","Exploring College Options: Atlanta, GA (Perimeter)","2019-05-22T19:00:00",NA,"Crowne Plaza Atlanta Perimeter at Ravinia",33.921,-84.338,"d15d8155-ba3c-4ff0-a379-5e8cb9a6f432",NA
"275","Exploring College Options: Atlanta, GA (Buckhead)","2019-05-23T19:00:00",NA,"Atlanta Marriott Buckhead Hotel & Conference Center",33.848,-84.36,"ff0bd525-8d6d-4b2d-b077-783870225839",NA
"276","Exploring College Options: Chicago, IL (Downtown)","2019-05-12T19:00:00",NA,"Chicago Marriott Downtown Magnificent Mile",41.892,-87.625,"e99309a0-4152-4af2-94e2-f4cc1f95e81b",NA
"277","Exploring College Options: Chicago, IL (O'Hare)","2019-05-13T19:00:00",NA,"The Westin O'Hare",41.989,-87.862,"7a867242-9981-478c-86f7-ae3337fb8964",NA
"278","Exploring College Options: Chicago, IL (Oak Brook)","2019-05-14T19:00:00",NA,"Chicago Marriott Oak Brook",41.846,-87.953,"f591da89-fb79-4ae8-a64a-8f678844f868",NA
"279","Exploring College Options: Cincinnati, OH","2019-05-19T19:00:00",NA,"Cincinnati Marriott at RiverCenter",39.09,-84.512,"3eafe431-94c2-4815-b26e-f1368b8dc8fe",NA
"280","Exploring College Options: Baltimore, MD","2019-05-14T19:00:00",NA,"Renaissance Baltimore Harborplace Hotel",39.287,-76.611,"7ce1f106-f397-4f9e-b170-4898d84ed2e1",NA
"281","Exploring College Options: Bethesda, MD","2019-05-15T19:00:00",NA,"Bethesda-Chevy Chase High School",38.987,-77.089,"b9ef4d92-da9f-4a54-82e5-25d76bc824bc",NA
"282","Exploring College Options: Boston","2019-05-19T19:00:00",NA,"Courtyard by Marriott Boston Downtown",42.35,-71.065,"58237290-80d9-45f2-afce-2bb0ebce52af",NA
"283","Exploring College Options: Burlington, MA","2019-05-20T19:00:00",NA,"Boston Marriott Burlington",42.49,-71.195,"caccb7a8-729e-43fd-8d8f-4565089ce907",NA
"284","Exploring College Options: Ann Arbor, MI","2019-05-22T19:00:00",NA,"Weber's Boutique Hotel",42.285,-83.792,"972654c1-ed6a-4013-9e91-95342c21bf1c",NA
"285","Exploring College Options: Detroit, MI","2019-05-23T19:00:00",NA,"Auburn Hills Marriott Pontiac",42.605,-83.252,"7bda1ffb-6f1d-4a41-965e-8ffc31544910",NA
"286","Exploring College Options: Minneapolis, MN","2019-05-16T19:00:00",NA,"Hilton Minneapolis",44.973,-93.273,"16a0480d-53c2-4ec6-818e-8f167c0f26f3",NA
"287","Exploring College Options: Kansas City, MO","2019-05-22T19:00:00",NA,"Sheraton Kansas City Hotel at Crown Center",39.085,-94.58,"599621b3-5553-4496-847d-189c44610583",NA
"288","Exploring College Options: St. Louis, MO","2019-05-23T19:00:00",NA,"Hilton St. Louis Frontenac",38.634,-90.406,"8b7efc56-484f-470d-9736-396d73c97e2d",NA
"289","Exploring College Options: Woodbridge, NJ","2019-05-14T19:00:00",NA,"Renaissance Woodbridge Hotel/Delta by Marriott Woodbridge",40.557,-74.311,"2b67fabc-8b2b-4a7b-a781-20df32fa8880",NA
"290","Exploring College Options: Morristown, NJ","2019-05-15T19:00:00",NA,"The Westin Governor Morris, Morristown",40.798,-74.459,"d5bab2ae-540f-4cc0-b9fa-18f26845dec5",NA
"291","Exploring College Options: Mount Laurel, NJ","2019-05-15T19:00:00",NA,"The Westin Mount Laurel",39.933,-74.96,"5799956b-1c4e-4e55-b4a5-168c34b58acc",NA
"292","Exploring College Options: Princeton, NJ","2019-05-16T19:00:00",NA,"Hyatt Regency Princeton",40.324,-74.644,"ab87fbb2-7420-43d2-af7f-0784bae10243",NA
"293","Exploring College Options: Brooklyn, NY","2019-05-12T19:00:00",NA,"New York Marriott at the Brooklyn Bridge",40.694,-73.988,"66228cac-3093-46c5-92a0-63018acc8a22",NA
"294","Exploring College Options: Long Island, NY","2019-05-13T19:00:00",NA,"Melville Marriott Long Island",40.784,-73.422,"92f9c6fa-cc36-420d-8388-63f2841163c6",NA
"295","Exploring College Options: New York, NY","2019-05-16T19:00:00",NA,"Hunter College High School",40.786,-73.954,"20f62e69-eb34-4a20-83c1-313195a62cb7",NA
"296","Exploring College Options: Westchester, NY","2019-05-23T19:00:00",NA,"Crowne Plaza Hotel",41.03,-73.76,"6d381d17-a9cd-4b9e-b0c7-0770c1e5561b",NA
"297","Exploring College Options: Cary, NC","2019-05-19T19:00:00",NA,"Embassy Suites by Hilton Raleigh Durham Research Triangle",35.833,-78.772,"2432a29c-75b4-4dc8-83e5-c0c20babeadb",NA
"298","Exploring College Options: Greensboro, NC","2019-05-20T19:00:00",NA,"Greensboro Marriott Downtown",36.076,-79.791,"b8f4ad25-2778-4d0f-825c-89c1ba4a0357",NA
"299","Exploring College Options: Charlotte, NC","2019-05-21T19:00:00",NA,"Crowne Plaza Charlotte Executive Park",35.159,-80.89,"550d8bc6-83c4-4773-87b0-70ba122b04e8",NA
"300","Exploring College Options: Columbus, OH","2019-05-20T19:00:00",NA,"The Westin Great Southern Columbus",39.956,-82.999,"0043aeea-e59e-4665-90ab-d44448221e38",NA
"301","Exploring College Options: Cleveland, OH","2019-05-21T19:00:00",NA,"Cleveland Airport Marriott",41.438,-81.8,"de1fc5ed-ec32-4bb7-b53f-b296700e3a5f",NA
"302","Exploring College Options: Portland, OR","2019-05-14T19:00:00",NA,"Crowne Plaza Portland-Downtown Convention Center",45.534,-122.664,"d22673ea-b0ce-4c62-b0e0-498abdcc550a",NA
"303","Exploring College Options: Philadelphia, PA","2019-05-12T19:00:00",NA,"Philadelphia Marriott Downtown",39.953,-75.161,"c0574a90-2515-48fa-a8bd-25cc2d2f3c29",NA
"304","Exploring College Options: King of Prussia, PA","2019-05-13T19:00:00",NA,"Philadelphia Marriott West",40.069,-75.31,"3daacdf5-f075-498c-a744-25d9e0c14636",NA
"305","Exploring College Options: Pittsburgh, PA","2019-05-16T19:00:00",NA,"Sheraton Pittsburgh Airport Hotel",40.502,-80.21,"43a60d43-127f-4074-ab89-57c4b44eb186",NA
"306","Exploring College Options: Providence, RI","2019-05-21T19:00:00",NA,"Providence Marriott Downtown",41.836,-71.414,"edf2166f-2bc1-4b04-aac6-14bbe1409813",NA
"307","Exploring College Options: Dallas, TX","2019-05-19T19:00:00",NA,"Dallas/Addison Marriott Quorum by the Galleria",32.952,-96.825,"d9976847-2a4b-4198-a99f-653d9b790726",NA
"308","Exploring College Options: Houston, TX (Hobby)","2019-05-19T19:00:00",NA,"Houston Marriott South at Hobby Airport",29.657,-95.257,"12a21786-fd8f-4424-996b-f4e4d0684103",NA
"309","Exploring College Options: Dallas, TX","2019-05-20T19:00:00",NA,"Dallas/Addison Marriott Quorum by the Galleria",32.952,-96.825,"59a72973-c4bc-4127-ad68-48450e026c48",NA
"310","Exploring College Options: Houston, TX (Memorial City)","2019-05-20T19:00:00",NA,"The Westin Houston, Memorial City",29.782,-95.545,"463af2ba-e343-42ca-bf1d-e11ded84f277",NA
"311","Exploring College Options: Fort Worth, TX","2019-05-21T19:00:00",NA,"The Worthington Renaissance Fort Worth Hotel",32.756,-97.334,"327a43a5-379e-4624-bf86-28889c2670e6",NA
"312","Exploring College Options: Houston, TX (Galleria)","2019-05-21T19:00:00",NA,"The Westin Oaks Houston at the Galleria",29.74,-95.462,"a1e890ec-5791-439e-8f43-df870b7578d3",NA
"313","Exploring College Options: Austin, TX","2019-05-22T19:00:00",NA,"Hilton Austin",30.265,-97.738,"4e33014b-0123-4704-a56b-f4bb97057db6",NA
"314","Exploring College Options: San Antonio, TX","2019-05-23T19:00:00",NA,"San Antonio Marriott Rivercenter",29.423,-98.484,"9e946c19-a5ed-4f6d-977e-adf33a51c388",NA
"315","Exploring College Options: Salt Lake City, UT","2019-05-21T19:00:00",NA,"Salt Lake City Marriott City Center",40.764,-111.889,"2e0a7ca2-a731-4374-817d-9430a175cdc0",NA
"316","Exploring College Options: Tysons Corner, VA","2019-05-13T19:00:00",NA,"Tysons Corner Marriott",38.914,-77.221,"415cfec9-1a1c-4eaa-8ea1-64d46dcc040d",NA
"317","Exploring College Options: Seattle, WA","2019-05-12T19:00:00",NA,"Renaissance Seattle Hotel",47.607,-122.331,"7b578cf0-047a-45f4-a942-94c1dc246b5e",NA
"318","Exploring College Options: Bellevue, WA","2019-05-13T19:00:00",NA,"Embassy Suites by Hilton Seattle Bellevue",47.581,-122.134,"a5b60e8d-344f-4df4-980a-9c68fd16618d",NA
"319","Exploring College Options: Milwaukee, WI","2019-05-15T19:00:00",NA,"Crowne Plaza Milwaukee Airport",42.928,-87.932,"a1cf2cc9-cd1d-4a33-9276-8b9a54575f8b",NA
"320","An Introduction to Penn:  Sydney, Australia","2019-09-10T18:00:00",5400,"Redlands",-33.83,151.226,"41deacbe-6f5e-44e3-ae7e-9e0813d6d720",NA
"321","Introduction to Brown and Penn:  Hong Kong","2019-09-18T18:30:00",5400,"St. Paul's Co-educational College",22.276,114.158,"c300054e-64b9-4208-ac1b-bf4d491f2b10",NA
"322","An Introduction to Brown and Penn:  Seoul, South Korea","2019-09-25T17:30:00",5400,"Yongsan International School of Seoul",37.542,127.001,"a8d95db7-fc60-430d-99e3-ab69ceadf2f0",NA
"323","Introduction to Brown and Penn:  Thailand","2019-09-22T09:00:00",7200,"NIST International School",13.748,100.56,"0049f578-0fda-4bfd-aab8-ddc63b1861bb",NA
"324","Introduction to Brown and Penn:  Vietnam","2019-10-01T18:00:00",5400,"Saigon South International School",10.722,106.709,"dacd8096-07c6-407b-a3d6-b524525ee1c1",NA
"325","An Introduction to Penn:  Brisbane, Australia","2019-09-09T17:00:00",5400,"Brisbane Grammar School",-27.46,153.019,"e827d78a-0b12-4665-91c8-5f57bb82b3f7",NA
"326","Quest For College Information Session in Sacramento","2019-06-03T19:00:00",NA,"Mira Loma High School",38.633,-121.371,"a370eae8-e02a-49fb-ba0a-fe4493093c34",NA
"327","Quest For College Information Session in Fresno","2019-06-04T19:00:00",NA,"Clovis North High School",36.89,-119.737,"9238361c-1681-4bca-93c7-1d2840964780",NA
"328","Quest For College Information Session in Riverside","2019-06-06T19:00:00",NA,"Rancho Cucamonga High School",34.132,-117.548,"2d7b4f80-5e39-4481-9022-d951bdcc4103",NA
"329","Quest For College Information Session in Portland","2019-06-02T15:00:00",NA,"US Grant High School Marshall Campus",45.494,-122.573,"d6aa3f38-7a87-4a8d-a802-0f8402949af4",NA
"330","Quest For College Information Session in Bakersfield","2019-06-05T19:00:00",NA,"Bakersfield Marriott at the Convention Center",35.372,-119.013,"e8be32a0-ba5f-472a-9c00-52f57db78821",NA
"331","Quest For College Information Session in Birmingham","2019-06-23T19:00:00",NA,"Thompson High School",33.221,-86.833,"6add34d4-b3c6-4eb5-8d68-0ba093945391",NA
"332","Quest For College Information Session in Little Rock","2019-06-25T18:00:00",NA,"Darragh Center Auditorium at the Public Library",34.747,-92.267,"736236b7-ca99-4085-bf8f-f69032cc37dd",NA
"333","Quest For College Information Session in Memphis","2019-06-24T19:00:00",NA,"White Station High School",35.118,-89.905,"702b8369-5af1-4a33-ad6b-8d284d51f859",NA
"334","Quest For College Information Session in Waco","2019-06-26T19:00:00",NA,"Waco-McLennan County Library Central Library",31.547,-97.144,"67660d42-3cab-41a2-941c-7afbb92b7f52",NA
"335","Quest For College Information Session in McAllen","2019-06-27T19:00:00",NA,"Mcallen High School",26.226,-98.238,"1086a514-db4f-4eb9-9551-2cbd65db7c1c",NA
