"","title","timestamp","duration","venue","lat","lng","id","address"
"90","Exploring College Options - Tampa, FL","2019-05-12T19:00:00",7200,"Tampa Renaissance Hotel, International Plaza",27.966,-82.52,"e1fc6ffc-f025-499d-b3e6-7e3ebb19dda5",NA
"91","Exploring College Options - Orlando, FL","2019-05-13T19:00:00",7200,"Renaissance Orlando Airport Hotel",28.461,-81.311,"692e58c7-ce79-4f50-bb75-e2ce451a8ee6",NA
"92","Exploring College Options - Palm Beach, FL","2019-05-14T19:00:00",7200,"West Palm Beach Marriott",26.707,-80.063,"d43a57a5-b4fa-44f2-aed3-8d25885aaa47",NA
"93","Exploring College Options - Fort Lauderdale, FL","2019-05-15T19:00:00",7200,"Fort Lauderdale Marriott North",26.208,-80.143,"d882c6c7-26d1-40cd-bb61-ea369781256e",NA
"94","Exploring College Options - Miami, FL","2019-05-16T19:00:00",7200,"Miami Marriott Dadeland",25.686,-80.314,"bf84dd1f-a3d1-4bb7-bcfb-c3675d923cd3",NA
"95","College Forum","2019-06-01T10:00:00",7200,"Miami Dade College",25.778,-80.191,"72a3b85a-fe4f-44d1-8e3d-5fd7a0f13a68",NA
"96","Exploring College Options - Atlanta, GA (Perimeter)","2019-05-22T19:00:00",7200,"Crowne Plaza Atlanta Perimeter at Ravinia",33.921,-84.338,"9c8a4e08-14ff-4c32-89f5-2484c1d54461",NA
"97","Exploring College Options - Atlanta, GA (Buckhead)","2019-05-23T19:00:00",7200,"Atlanta Marriott Buckhead Hotel & Conference Center",33.848,-84.36,"768d24ac-33f4-4ac8-a63f-29b8d3b340ff",NA
"98","Exploring College Options - Chicago, IL (Downtown)","2019-05-12T19:00:00",7200,"Chicago Marriott Downtown Magnificent Mile",41.892,-87.625,"86fb5c77-0e23-4562-8644-80a0a90ef4d1",NA
"99","Exploring College Options - Chicago, IL (O'Hare)","2019-05-13T19:00:00",7200,"The Westin O'Hare",41.989,-87.862,"6ab9a35f-fc9a-414b-bcce-0377329bbade",NA
"100","Exploring College Options - Oak Brook, IL","2019-05-14T19:00:00",7200,"Chicago Marriott Oak Brook",41.846,-87.953,"6980b733-13af-4bf5-8307-4a1df513df88",NA
"101","Exploring College Options - Cincinnati, OH","2019-05-19T19:00:00",7200,"Cincinnati Marriott at RiverCenter",39.09,-84.512,"3eda7672-5989-4c5a-9ee2-e8abcf68ea45",NA
"102","Exploring College Options - Baltimore, MD","2019-05-14T19:00:00",7200,"Renaissance Baltimore Harborplace Hotel",39.287,-76.611,"da5b4f25-bd73-4c5a-86fd-27340e3ace10",NA
"103","Exploring College Options - Bethesda, MD","2019-05-15T19:00:00",7200,"Bethesda Chevy Chase High School",38.986,-77.089,"6e3f0186-2472-49c2-a440-6be2f1d2aa07",NA
"104","Exploring College Options - Boston, MA","2019-05-19T19:00:00",7200,"Courtyard Boston Downtown",42.35,-71.065,"8dc1a902-9a3e-4f11-b1a8-a1cc67e81bc4",NA
"105","Exploring College Options - Burlington, MA","2019-05-20T19:00:00",7200,"Boston Marriott Burlington",42.49,-71.195,"a48a3089-5619-40bd-8e1b-3613018a6b5c",NA
"106","Exploring College Options - Ann Arbor, MI","2019-05-22T19:00:00",7200,"Weber's Inn",42.285,-83.792,"de471514-8438-4a02-aec5-6ad76d9e9a25",NA
"107","Exploring College Options - Detroit, MI","2019-05-23T19:00:00",7200,"Auburn Hills Marriott Pontiac",42.605,-83.252,"001378cb-0730-4c5f-ac98-e9797daa1887",NA
"108","Exploring College Options - Minneapolis, MN","2019-05-16T19:00:00",7200,"Hilton Minneapolis",44.973,-93.273,"2bf951c3-4a72-4713-8eff-d269ba194297",NA
